300	266
9	137	86
9	135	88
14	137	90
10	147	95
3	148	93
3	147	94
4	148	95
2	149	95
4	153	98
6	153	99
8	152	103
13	155	107
13	155	105
15	153	104
18	155	109
14	151	107
8	150	100
6	154	96
6	151	92
3	151	93
3	148	89
4	148	86
6	145	80
10	143	77
18	143	75
23	145	72
32	145	63
43	145	59
56	145	51
72	147	44
92	150	40
113	154	32
135	161	26
154	168	23
172	173	19
191	182	19
205	189	18
214	191	17
219	189	15
215	180	14
198	174	16
176	166	16
151	154	23
118	137	29
80	130	35
48	125	45
21	122	54
5	118	56
0	112	54
0	112	54
0	109	56
1	109	59
0	110	56
1	107	58
14	110	49
85	126	22
169	153	8
205	167	6
208	169	6
202	157	2
207	159	1
211	163	1
211	161	2
169	135	0
66	93	14
11	80	36
5	77	39
20	77	34
104	109	19
137	116	7
45	75	21
13	73	48
15	77	56
12	76	52
16	75	53
20	71	52
24	65	47
27	49	37
32	35	28
37	37	29
39	40	32
42	43	35
49	44	40
52	49	44
53	52	47
52	55	48
59	60	54
65	61	58
64	63	61
67	67	65
68	67	65
70	69	67
69	68	66
75	71	68
73	69	66
69	68	66
68	68	66
72	72	72
75	70	67
70	71	66
66	68	63
71	70	68
73	69	66
74	71	66
74	73	69
69	69	69
73	72	68
73	72	68
70	71	66
72	71	69
75	71	68
76	72	69
73	72	68
74	74	72
72	70	71
72	73	68
74	75	70
75	74	70
78	75	70
76	75	71
77	75	76
80	76	77
83	77	77
81	77	78
81	79	80
82	80	81
80	79	77
79	77	78
82	80	81
81	80	78
78	78	78
81	77	78
82	80	81
81	81	81
83	81	82
80	78	79
79	77	78
83	79	80
80	79	77
79	75	74
80	76	75
80	76	75
84	80	79
80	79	77
78	77	75
82	81	79
81	77	76
81	77	76
83	82	80
84	83	81
83	79	78
82	78	77
83	79	78
81	79	80
80	80	80
81	79	80
84	80	79
96	95	93
23	23	23
33	33	31
32	31	27
29	28	24
36	36	34
44	44	42
45	45	43
46	47	42
46	46	44
45	46	41
45	46	41
46	47	42
45	46	41
44	45	40
43	44	39
42	43	38
43	42	38
44	43	39
43	42	40
41	42	37
42	43	38
42	42	40
43	44	39
45	46	40
45	46	41
46	47	42
47	48	43
44	46	41
44	46	41
46	47	42
47	48	43
48	49	44
48	49	44
47	48	42
47	48	43
46	47	42
47	48	43
46	47	41
46	49	42
48	51	44
49	51	46
49	49	47
49	48	46
49	48	44
46	47	42
44	47	40
44	47	40
42	43	38
45	44	40
49	48	44
47	46	42
46	47	41
47	46	41
47	46	41
46	45	41
38	38	36
35	36	31
35	36	31
35	36	31
37	38	33
38	39	34
37	38	33
36	37	32
38	39	34
37	38	33
35	36	31
36	37	32
37	38	33
35	36	31
34	35	30
36	35	31
37	36	32
37	37	35
39	39	37
39	40	35
38	39	34
36	37	32
37	38	33
39	40	35
39	40	35
38	37	33
38	37	32
39	38	34
39	40	35
39	39	37
39	39	37
40	41	36
40	41	33
41	42	37
43	42	38
41	40	36
37	39	36
32	38	24
35	45	20
22	39	21
39	50	20
121	90	10
157	110	2
163	116	0
170	124	2
173	130	2
148	117	0
136	107	3
178	142	2
192	153	0
148	129	0
96	106	7
118	125	13
126	131	11
107	125	17
65	107	21
26	95	32
6	89	45
4	96	55
4	100	52
12	104	53
37	107	47
78	116	31
122	134	24
164	154	23
192	171	16
210	178	18
212	184	15
195	181	14
176	172	13
156	162	14
122	152	22
94	144	33
67	139	40
44	136	49
32	135	62
24	134	71
10	134	71
2	138	76
2	139	83
3	137	86
1	142	90
4	145	93
8	146	97
8	145	101
9	146	102
15	148	105
14	135	100
18	128	101
15	128	98
20	140	105
23	149	111
24	150	113
23	151	116
22	152	114
24	153	115
30	155	121
42	157	126
50	164	131
59	167	135
73	168	138
75	171	144
53	168	139
36	160	126
34	158	121
31	157	119
25	154	115
20	151	111
17	152	109
15	152	108
15	152	108
15	152	108
12	149	103
5	149	98
2	146	97
2	145	91
3	142	87
5	138	81
11	139	78
18	139	72
25	137	63
42	137	53
56	139	47
81	145	35
112	151	24
141	160	19
167	166	16
189	175	14
205	183	12
215	187	17
214	184	12
197	175	11
177	161	13
145	147	20
105	132	29
65	120	36
33	115	43
12	110	49
0	112	54
0	111	55
3	107	54
0	106	57
17	108	47
76	121	26
144	141	12
185	159	0
207	168	2
214	167	3
210	165	1
208	163	0
156	134	0
53	89	17
8	83	44
1	77	38
14	79	37
100	110	23
141	119	7
51	74	18
16	72	47
15	77	56
12	76	50
15	77	54
18	73	52
23	70	52
27	59	44
29	39	30
35	32	27
39	36	29
42	39	32
47	42	38
51	46	42
51	50	45
53	52	47
58	57	52
60	56	53
61	60	58
65	65	63
66	66	64
69	68	66
74	70	69
73	69	68
75	71	70
73	69	68
71	70	68
69	71	70
70	68	69
70	71	66
71	70	66
73	69	68
70	69	67
70	72	69
72	74	71
73	69	68
74	73	69
72	71	67
70	69	67
74	73	71
77	71	71
77	71	71
74	73	71
72	72	70
73	72	70
76	77	72
74	76	71
74	75	70
76	75	71
76	75	73
76	74	75
79	77	78
79	78	76
78	76	77
79	75	76
85	81	80
82	81	79
80	80	78
77	77	75
82	81	79
81	81	79
78	78	76
83	82	80
83	82	80
78	78	76
77	75	76
85	81	82
83	81	82
80	80	80
78	78	78
80	79	77
78	77	75
81	79	80
81	81	81
77	77	77
78	78	76
81	77	76
81	80	78
81	81	79
81	80	78
81	77	76
84	80	79
83	82	80
82	80	81
86	82	81
82	81	79
83	81	82
94	92	93
21	21	21
32	32	30
33	32	28
28	27	23
35	35	33
45	45	43
45	45	43
47	48	43
48	48	46
45	45	43
45	46	41
46	47	42
44	44	42
44	44	42
43	43	41
42	42	40
44	43	39
45	44	40
43	42	38
41	42	37
42	43	38
43	44	39
44	45	40
45	46	40
43	44	39
46	45	41
47	48	43
46	48	43
45	47	42
45	46	41
45	46	41
45	46	41
48	49	44
49	50	45
48	49	44
47	48	43
48	49	44
49	50	45
49	52	45
48	51	44
51	50	46
49	50	45
47	49	44
47	49	44
46	47	42
46	47	42
47	48	43
44	46	41
47	48	43
49	48	44
45	46	41
46	47	42
47	48	43
48	47	43
46	45	41
39	38	34
36	37	32
35	36	31
35	36	31
37	38	33
37	38	33
36	37	32
35	36	31
35	36	31
36	37	32
34	35	30
35	36	31
36	37	32
36	37	32
35	36	31
36	37	32
38	37	33
38	38	36
37	38	33
37	38	33
38	39	34
36	37	32
37	38	33
39	40	35
37	38	33
39	38	36
38	37	33
41	40	35
40	41	35
39	40	35
39	40	35
39	40	35
40	41	35
39	40	34
41	40	35
40	41	36
33	37	36
34	41	25
34	44	19
20	37	21
48	52	15
131	94	5
151	107	0
158	116	0
170	125	0
174	131	1
130	109	0
125	103	1
181	143	0
191	152	0
142	128	3
50	94	19
27	90	35
28	90	39
19	88	41
8	84	45
8	86	46
12	91	43
25	100	44
64	110	37
115	127	25
157	147	16
193	167	20
207	179	20
201	179	15
180	171	14
156	159	16
120	145	18
84	136	26
55	131	41
31	129	54
15	128	62
6	130	70
0	132	74
2	133	79
5	137	87
6	139	92
12	139	94
14	141	96
12	143	99
13	142	101
17	142	102
21	143	106
22	142	107
21	140	110
19	140	107
19	138	106
10	129	101
8	124	101
8	125	99
15	132	105
18	135	109
18	136	112
17	137	110
15	134	106
18	135	108
19	135	112
25	139	113
30	140	115
33	142	119
38	144	124
36	145	126
25	141	120
23	137	114
22	136	111
22	134	109
21	135	110
17	134	108
20	135	106
20	135	106
19	138	108
22	141	111
23	141	109
21	142	111
21	142	111
22	144	107
20	144	107
15	144	105
15	144	103
14	145	103
8	144	94
7	139	89
5	136	86
6	135	79
13	133	69
22	134	60
42	134	51
71	135	38
103	141	30
128	152	16
158	163	11
186	172	11
202	179	13
213	181	12
204	176	14
181	161	14
149	145	12
107	129	21
63	118	35
32	110	50
9	108	54
0	107	55
1	103	56
9	102	49
42	110	33
93	124	20
151	141	9
178	148	0
190	160	2
181	149	4
103	110	4
27	86	28
4	82	42
6	78	40
17	80	35
102	111	22
143	120	6
51	77	16
12	72	44
14	78	54
14	76	55
17	75	53
16	75	55
21	72	55
25	66	50
29	46	36
35	30	26
36	33	26
39	36	29
44	41	36
47	42	38
52	44	41
56	48	45
59	56	51
55	56	50
61	60	56
66	62	59
65	64	62
69	65	64
71	70	68
71	70	68
72	71	67
74	70	67
75	71	70
72	71	69
69	68	66
71	71	69
73	72	68
75	71	68
73	72	70
70	72	71
73	73	71
74	70	67
74	73	69
70	71	66
69	69	67
75	75	73
74	73	71
73	72	70
73	72	70
74	73	71
73	72	70
76	75	73
77	77	77
74	74	74
74	74	74
76	74	75
77	75	78
77	77	77
77	77	75
77	76	74
78	74	73
86	82	81
80	79	75
81	81	79
82	82	80
82	81	79
83	82	80
77	76	74
81	80	78
82	81	79
77	77	75
79	78	76
82	80	81
82	82	82
81	81	81
79	77	78
79	78	76
80	79	77
80	79	77
82	82	80
80	80	78
77	77	75
81	80	76
81	80	78
79	79	77
80	79	77
81	80	78
84	80	79
83	82	80
83	83	83
85	81	80
81	80	78
84	82	83
96	94	95
19	19	19
28	28	26
32	33	28
28	29	24
34	35	30
45	45	43
47	47	45
47	48	43
46	47	42
46	47	42
46	47	42
46	47	42
43	44	39
42	42	40
43	43	41
43	44	39
45	46	41
43	44	39
41	42	37
41	42	37
41	42	37
42	43	38
44	45	40
44	45	39
44	43	38
45	44	39
45	46	41
46	48	43
46	49	42
46	47	41
46	47	42
45	46	41
49	48	46
48	49	44
47	48	43
48	48	46
48	48	46
48	49	44
46	47	42
47	49	44
48	49	44
49	50	45
47	48	43
45	47	42
45	46	40
46	47	42
47	46	42
47	46	44
46	49	42
46	47	41
46	47	42
44	46	43
44	46	43
46	47	42
42	43	37
37	38	30
36	37	32
36	37	32
36	36	34
37	37	35
35	36	31
36	37	32
36	37	32
34	35	30
35	36	31
36	37	32
36	37	32
34	35	30
36	37	32
37	38	33
38	39	34
37	38	33
37	38	33
37	38	33
37	38	33
38	39	34
37	38	33
37	38	33
38	39	34
37	38	33
38	39	34
37	38	32
41	42	36
41	42	36
40	41	35
40	41	36
39	40	35
41	42	36
40	41	36
42	41	37
39	40	35
33	38	34
37	41	24
33	43	18
20	37	21
61	58	15
135	96	1
140	97	2
153	111	1
172	124	0
169	130	1
107	97	2
113	105	7
169	144	2
149	135	0
79	104	10
17	86	32
0	82	40
0	85	46
5	85	46
18	90	44
51	102	35
93	116	25
146	137	16
187	160	7
201	174	9
194	175	11
165	164	12
125	148	18
87	133	24
55	125	37
31	121	47
11	121	58
5	124	68
2	129	76
3	131	82
9	132	88
11	134	90
12	134	97
18	134	99
18	136	102
16	135	103
16	131	102
16	129	99
15	130	99
13	130	101
11	129	103
12	128	105
10	128	102
9	129	102
7	129	104
8	130	107
6	130	104
2	131	101
6	130	102
8	131	103
8	132	104
6	133	106
7	134	107
10	134	108
7	134	107
7	135	110
5	135	107
7	136	108
8	135	106
10	134	106
8	135	108
6	135	107
5	133	108
5	133	110
4	133	105
3	133	107
2	132	108
4	130	106
6	130	106
6	128	107
9	128	106
9	127	101
11	129	97
12	129	102
16	128	103
16	129	101
12	130	98
14	132	98
18	133	102
15	135	100
18	137	99
22	137	104
20	138	104
14	138	102
9	140	100
8	138	94
8	132	82
6	128	71
14	129	64
36	126	54
64	131	34
91	138	22
125	147	13
162	161	9
190	170	9
200	175	10
202	173	11
187	160	7
146	141	11
104	125	24
60	115	31
25	105	44
3	103	51
1	100	45
12	99	46
36	103	34
66	110	25
80	110	14
62	100	17
22	90	33
10	86	40
0	81	40
5	77	39
19	78	32
105	109	22
143	119	9
47	76	18
8	75	44
10	79	51
13	74	56
18	75	56
18	77	57
21	72	55
23	67	52
27	55	43
28	33	27
30	29	24
34	34	26
41	38	31
42	39	32
49	42	36
56	48	45
58	53	49
54	55	49
60	59	54
65	60	57
65	61	58
66	65	61
66	67	62
70	69	65
72	71	66
73	72	67
73	72	68
74	70	67
76	71	67
73	72	70
70	70	68
73	72	68
76	73	68
72	68	65
72	71	67
72	71	67
75	70	66
74	70	67
73	72	68
74	75	70
72	73	68
74	73	69
76	72	69
80	75	72
76	75	71
76	72	69
80	76	75
74	74	74
74	74	72
76	75	73
79	77	78
75	76	71
81	77	74
81	80	78
80	80	78
83	84	79
81	80	76
79	78	76
85	84	82
80	79	77
81	77	76
84	78	78
79	75	74
81	80	76
86	82	79
83	79	78
81	80	78
80	80	78
83	79	78
81	77	76
81	77	76
83	79	76
83	79	76
85	81	80
80	79	77
80	79	77
82	81	77
80	79	77
80	79	77
82	81	79
82	81	79
83	79	78
81	80	78
81	80	78
83	82	80
85	81	80
83	81	82
99	99	99
19	19	19
27	27	25
34	35	30
27	28	23
32	33	28
44	45	40
49	50	45
45	46	41
47	48	43
46	47	41
45	46	40
45	46	41
45	46	41
45	45	43
44	45	40
43	44	39
45	46	41
43	44	39
42	43	38
43	44	39
42	43	38
41	42	37
41	42	37
41	42	36
47	44	39
44	43	39
43	44	39
44	45	40
46	47	41
47	48	42
46	47	41
45	44	40
47	46	44
49	50	45
48	49	44
48	48	46
48	48	46
50	51	46
48	49	44
48	49	44
47	49	46
48	48	46
47	48	43
47	48	43
46	47	41
46	47	41
48	47	43
50	46	43
49	48	46
49	45	42
47	46	42
45	46	40
48	47	42
49	48	44
43	42	38
37	38	33
35	36	30
36	37	32
36	36	34
36	36	34
35	36	31
37	36	32
37	36	32
37	36	32
35	36	31
35	36	31
36	36	34
35	35	33
34	35	30
35	36	31
36	37	32
37	38	32
37	38	33
37	38	33
37	36	32
39	38	34
38	39	34
38	39	34
38	39	34
39	38	34
38	39	33
38	39	33
40	41	36
41	42	37
40	41	36
40	41	35
40	41	35
40	41	35
41	42	37
44	43	39
37	39	34
29	36	29
37	42	22
31	41	17
21	38	20
73	63	14
135	99	5
123	87	1
145	107	0
170	127	0
157	126	0
83	89	3
72	95	17
86	109	18
44	90	17
13	83	29
5	81	42
6	85	40
23	91	40
62	99	29
121	124	21
171	148	16
194	165	12
189	169	10
162	158	9
118	138	13
76	129	25
42	116	37
22	113	52
3	116	60
6	120	69
7	123	74
12	127	86
14	130	95
16	130	96
16	130	96
16	130	97
14	129	98
15	127	102
11	129	103
9	131	106
6	135	107
3	136	107
7	137	111
8	137	115
6	138	115
1	137	113
3	140	114
3	142	113
3	144	112
2	142	115
1	141	115
4	142	116
4	141	111
3	142	113
4	143	114
1	142	110
2	142	113
5	142	116
6	140	116
6	143	117
5	144	115
0	145	116
5	143	117
7	141	116
3	141	115
3	143	116
5	142	114
7	142	112
4	141	111
3	140	112
4	138	113
1	137	113
2	139	113
1	138	112
1	135	110
2	135	108
3	136	107
5	136	105
4	134	106
4	130	106
8	130	107
8	131	103
6	130	102
8	128	101
7	123	102
10	124	101
11	123	99
11	123	99
11	128	102
15	130	101
20	131	99
19	133	97
18	136	101
12	134	97
11	134	90
8	131	85
11	127	80
20	126	64
42	125	47
74	130	33
109	138	19
147	151	14
182	161	6
197	169	7
199	164	8
180	156	4
139	135	12
87	118	24
46	105	37
15	99	49
2	94	47
4	94	43
3	91	43
1	90	42
5	88	42
3	83	44
6	85	38
8	79	37
16	78	31
101	109	24
143	121	10
49	77	16
9	74	40
11	80	51
13	78	56
15	77	56
18	75	56
20	71	54
23	67	52
26	60	46
27	43	33
29	28	23
38	31	25
37	34	27
39	36	29
44	41	36
51	48	43
53	50	45
55	52	47
59	56	51
61	58	53
59	58	53
65	66	60
67	66	62
71	67	64
73	69	66
71	70	65
70	71	65
72	71	67
72	71	66
74	73	69
71	70	68
74	70	67
72	71	67
70	69	64
75	71	68
75	71	68
75	70	67
75	71	70
77	71	71
78	72	72
73	72	70
74	73	69
76	70	70
79	73	73
77	76	72
78	75	70
77	73	70
78	74	73
75	74	70
78	77	73
80	79	77
78	77	73
82	78	75
77	76	74
81	81	79
82	81	77
83	82	78
82	81	79
82	81	79
80	79	77
75	77	74
80	79	77
82	81	79
81	82	77
82	81	77
84	83	79
81	82	77
81	82	77
85	81	80
84	80	79
82	81	77
80	79	75
80	79	75
83	82	80
81	80	78
81	80	78
81	80	78
79	78	76
83	79	78
83	79	78
81	80	78
81	80	78
84	80	77
84	80	77
84	83	81
83	83	81
83	83	81
96	94	95
18	20	19
26	26	24
34	35	30
26	27	22
33	34	29
43	44	39
48	49	44
46	46	44
46	47	42
46	47	41
44	45	39
44	45	40
45	45	43
45	45	43
42	42	40
41	42	37
42	43	38
41	42	37
41	42	37
43	44	38
44	45	40
41	42	37
40	41	36
41	42	37
46	42	39
45	44	40
43	43	41
44	43	39
44	45	40
45	48	41
45	46	41
44	43	39
47	46	42
47	48	42
47	48	42
44	45	40
47	48	43
48	49	43
49	50	44
50	51	45
46	51	47
47	49	46
46	48	43
48	49	43
47	46	41
47	46	41
47	46	41
46	47	42
50	46	43
50	46	43
48	47	42
45	46	40
46	47	42
47	48	43
41	42	37
36	38	33
35	36	30
37	38	32
36	37	32
36	37	32
37	38	33
37	38	32
35	36	30
36	37	31
35	36	31
34	35	30
38	38	36
37	37	35
33	33	31
34	35	30
37	38	33
37	38	32
37	38	32
38	37	33
37	36	32
39	38	34
39	38	34
38	37	32
38	37	33
39	38	34
38	39	34
39	40	35
41	40	36
41	40	35
40	39	34
40	39	34
41	42	37
41	41	39
39	40	35
41	40	36
37	39	34
25	32	25
36	41	21
31	41	17
22	40	18
80	69	15
131	102	2
109	80	2
143	106	0
172	128	3
137	116	0
52	78	15
18	74	25
7	74	31
0	77	33
3	80	38
22	85	38
70	97	26
131	123	14
175	153	7
192	162	2
172	158	10
132	139	10
86	121	21
42	112	42
15	106	45
7	110	54
8	114	68
13	117	80
16	122	86
17	127	98
18	126	94
14	123	94
9	124	95
9	124	95
9	128	100
8	130	107
5	131	109
3	136	109
1	138	110
1	140	109
2	143	111
4	143	114
2	140	115
1	139	116
0	141	115
0	141	115
0	145	116
0	147	118
2	149	121
2	151	122
1	152	121
2	153	122
5	154	124
5	156	125
4	157	129
3	157	129
4	159	128
8	161	131
9	162	134
7	161	133
8	163	132
11	161	132
8	163	132
8	163	131
5	164	132
5	162	133
7	160	132
4	161	132
3	160	131
5	160	129
4	158	130
2	156	128
7	157	128
5	154	125
4	154	127
2	150	124
4	148	121
4	146	122
4	143	114
2	140	114
2	140	115
2	135	114
1	134	113
2	136	109
0	133	106
3	132	104
3	130	101
7	127	99
6	125	97
10	122	97
10	125	96
12	122	95
13	121	97
15	122	96
17	126	97
19	129	102
14	134	99
13	133	97
10	130	94
8	125	80
13	120	66
34	120	49
69	123	35
110	135	18
152	146	10
182	162	5
194	169	6
189	158	5
158	140	4
106	119	14
55	100	31
17	94	42
7	90	44
2	87	46
2	88	43
10	89	42
44	99	34
46	90	29
32	81	26
101	109	23
142	122	9
51	80	16
10	73	42
12	78	51
15	77	54
15	74	52
21	72	55
22	75	57
22	69	51
26	63	46
30	52	39
29	30	24
31	26	20
34	31	24
37	32	28
41	37	34
45	44	40
46	47	42
54	50	47
58	53	50
60	55	52
